Bib,Wave,Division,AgeDivision,Gender,PreviousBestTime,TimeToHut,TimeToRoad,TotalTime
0,6,OpenM,1,1,13205,8474,10954,11570
0,6,OlderM,3,1,,8994,11640,12224
0,2,OpenW,1,0,11027,7720,9882,10397
0,8,MastersM,2,1,,9785,12524,13175
0,10,OpenM,1,1,,10418,13518,14254
0,5,OlderM,3,1,12538,9653,12319,12964
0,9,OpenM,1,1,,8984,11392,12062
0,4,YoungW,0,0,,9061,11539,12120
0,1,OlderM,3,1,10511,9059,11536,12119
0,5,MastersW,2,0,,11180,14286,14976
0,2,OlderM,3,1,,6834,8775,9274
0,6,OpenM,1,1,,9024,11931,12692
0,7,MastersM,2,1,11394,10473,13725,14443
0,6,OpenW,1,0,,10047,12740,13427
0,2,MastersM,2,1,10548,8755,11331,12020
0,1,MastersM,2,1,,7293,9344,9898
0,11,MastersM,2,1,19005,14563,18316,19178
0,10,MastersW,2,0,,12149,15389,16121
0,11,OlderW,3,0,19656,12878,16063,16780
0,1,YoungM,0,1,,8165,10628,11237
0,1,MastersM,2,1,9999,7450,9699,10296
0,11,OpenW,1,0,,14360,18356,19171
0,5,MastersM,2,1,12616,9366,12202,12829
0,5,OpenM,1,1,11246,10274,13457,14320
0,11,OlderW,3,0,,14484,18252,19079
0,11,MastersM,2,1,,15092,19785,20749
0,4,OpenM,1,1,,8371,10711,11437
0,1,OpenM,1,1,10531,8001,10883,11745
0,8,MastersW,2,0,,11561,14596,15255
0,5,MastersM,2,1,,8709,11303,11899
0,7,OpenM,1,1,13877,10234,13448,14302
0,2,OpenM,1,1,10729,7592,9919,10533
0,2,OlderM,3,1,10969,8196,10685,11346
0,5,OpenM,1,1,11821,9274,12006,12717
0,8,OpenW,1,0,,10758,13905,14587
0,2,MastersM,2,1,11209,8702,11207,11884
0,0,OpenM,1,1,9648,6858,8968,9497
0,8,MastersW,2,0,14125,11622,14960,15726
0,7,MastersM,2,1,14002,10443,13742,14532
0,10,MastersW,2,0,16334,12372,15915,16657
0,7,MastersM,2,1,,9843,12599,13298
0,0,MastersM,2,1,8637,7042,9273,9854
0,4,OpenM,1,1,,8202,10658,11285
0,5,OpenM,1,1,,12111,16821,17808
0,9,OlderM,3,1,,9632,12385,13051
0,8,OpenW,1,0,,16297,20759,21587
0,7,OldestW,4,0,14067,10386,13317,14023
0,5,MastersM,2,1,,10790,14119,14905
0,10,OlderM,3,1,,12592,15980,16729
0,2,MastersM,2,1,10714,7790,9946,10481
0,0,OpenW,1,0,,7019,8922,9398
0,5,OpenM,1,1,12743,9318,12542,13360
0,6,OldestM,4,1,,10721,14107,14941
0,2,MastersM,2,1,,7233,9252,9785
0,3,OlderM,3,1,,8378,10965,11619
0,4,OlderM,3,1,,8897,11294,11883
0,1,MastersM,2,1,9616,7448,9591,10137
0,8,OpenM,1,1,14156,8375,10910,11548
0,4,OpenM,1,1,,8464,10900,11472
0,11,OpenM,1,1,,9814,12531,13177
0,3,OpenM,1,1,,8707,11192,11756
0,4,MastersM,2,1,,10738,13630,14340
0,0,OpenM,1,1,,7570,10106,10710
0,0,MastersM,2,1,,5292,6778,7188
0,0,YoungM,0,1,,7499,9643,10214
0,0,YoungM,0,1,,5651,7297,7748
